280
3 5
0 1 1
0 279 1
1 0 1
1 241 1
2 278 1
2 279 1
3 276 0.5
3 277 0.5
4 5 1
4 6 1
5 4 1
6 4 1
6 8 1
7 8 1
7 9 1
8 6 1
8 7 1
9 7 1
9 10 1
10 9 1
10 11 1
11 10 1
11 14 1
12 13 1
12 14 1
13 12 1
13 23 1
14 11 1
14 12 1
15 16 1
15 270 1
16 15 1
16 17 0.5
16 132 0.5
17 16 0.5
17 18 1
17 132 0.5
18 17 1
18 19 1
19 18 1
19 20 1
20 19 1
20 127 1
21 24 1
21 25 1
22 23 1
22 24 1
23 13 1
23 22 1
24 21 1
24 22 1
25 21 1
25 26 1
26 25 1
26 27 1
27 26 1
27 28 1
28 27 1
28 29 1
29 28 1
29 30 1
30 29 1
30 31 1
31 30 1
31 32 1
32 31 1
32 33 1
33 32 1
33 34 1
34 33 1
34 35 1
35 34 1
35 36 1
36 35 1
36 37 1
37 36 1
37 38 1
38 37 1
38 39 1
39 38 1
39 40 1
40 39 1
40 41 1
41 40 1
41 42 1
42 41 1
42 59 1
43 44 1
43 58 1
44 43 1
44 45 1
45 44 1
45 46 1
46 45 1
46 47 1
47 46 1
47 48 1
48 47 1
48 49 1
49 48 1
49 50 1
50 49 1
50 51 1
51 50 1
51 52 1
52 51 1
52 53 1
53 52 1
53 54 1
54 53 1
54 55 1
55 54 1
55 56 1
56 55 1
56 57 1
57 56 1
57 67 1
58 43 1
58 61 0.5
58 62 0.5
59 42 1
59 60 1
60 59 1
60 61 0.5
60 117 0.5
61 58 0.5
61 60 0.5
61 62 0.5
61 117 0.5
62 58 0.5
62 61 0.5
62 63 1
63 62 1
63 64 1
64 63 1
64 65 1
65 64 1
65 66 1
66 65 1
66 68 0.5
66 69 0.5
67 57 1
67 68 1
68 66 0.5
68 67 1
68 69 0.5
69 66 0.5
69 68 0.5
69 70 1
70 69 1
70 71 1
71 70 1
71 72 1
72 71 1
72 73 1
73 72 1
73 75 1
74 75 1
74 76 1
75 73 1
75 74 1
76 74 1
76 77 1
77 76 1
77 78 1
78 77 1
78 79 1
79 78 1
79 80 1
80 79 1
80 81 1
81 80 1
81 82 1
82 81 1
82 87 1
83 84 1
83 86 1
84 83 1
84 85 1
85 84 1
85 115 1
86 83 1
86 112 1
87 82 1
87 111 1
88 89 1
88 108 1
89 88 1
89 90 1
90 89 1
90 91 1
91 90 1
91 92 1
92 91 1
92 93 1
93 92 1
93 94 1
94 93 1
94 95 1
95 94 1
95 96 1
96 95 1
96 97 1
97 96 1
97 98 1
98 97 1
98 99 1
99 98 1
99 100 1
100 99 1
100 101 0.5
100 168 0.5
101 100 0.5
101 102 1
101 168 0.5
102 101 1
102 103 1
103 102 1
103 104 1
104 103 1
104 106 1
105 106 1
105 172 1
106 104 1
106 105 1
107 108 1
107 109 1
108 88 1
108 107 1
109 107 1
109 110 0.5
109 111 0.5
110 109 0.5
110 111 0.5
110 113 1
111 87 1
111 109 0.5
111 110 0.5
112 86 1
112 113 1
113 110 1
113 112 1
114 115 1
114 116 1
115 85 1
115 114 1
116 114 1
116 117 1
117 60 0.5
117 61 0.5
117 116 1
118 119 1
118 156 1
119 118 1
119 120 1
120 119 1
120 121 1
121 120 1
121 122 1
122 121 1
122 123 1
123 122 1
123 124 1
124 123 1
124 125 1
125 124 1
125 126 1
126 125 1
126 127 1
127 20 1
127 126 1
128 129 1
128 153 1
129 128 1
129 130 1
130 129 1
130 131 1
131 130 1
131 132 1
132 16 0.5
132 17 0.5
132 131 1
133 134 1
133 269 1
134 133 1
134 135 1
135 134 1
135 136 1
136 135 1
136 137 1
137 136 1
137 138 1
138 137 1
138 139 1
139 138 1
139 140 1
140 139 1
140 141 1
141 140 1
141 142 1
142 141 1
142 143 1
143 142 1
143 199 1
144 145 1
144 198 1
145 144 1
145 146 1
146 145 1
146 147 1
147 146 1
147 148 1
148 147 1
148 149 1
149 148 1
149 178 1
150 151 1
150 177 1
151 150 1
151 155 1
152 154 1
152 155 1
153 128 1
153 154 1
154 152 1
154 153 1
155 151 1
155 152 1
156 118 1
