280 279
0 1 20
1 279 8
2 278 10
2 279 10
3 4 16
3 276 10
4 5 10
5 6 15
6 7 8
7 8 8
8 9 11
9 10 8
10 11 8
11 12 8
12 14 8
13 14 11
13 23 16
15 16 16
15 270 8
16 132 11
17 18 8
17 132 8
18 131 8
19 20 8
20 127 8
21 24 8
21 25 8
22 23 8
22 24 8
25 26 8
26 27 8
27 28 11
28 125 16
29 30 8
30 31 8
31 32 14
32 33 12
33 34 16
34 35 8
35 36 8
36 37 8
37 38 8
38 39 8
39 40 8
40 41 8
41 42 8
42 59 8
43 44 8
43 58 8
44 45 8
45 46 8
46 47 8
47 48 8
48 49 8
49 50 8
50 51 8
51 52 8
52 53 8
53 54 8
54 55 8
55 56 8
56 57 8
57 67 16
58 61 16
59 60 8
60 117 8
62 63 8
63 64 8
64 65 8
65 66 11
66 68 14
67 68 8
68 69 12
69 70 8
70 71 8
71 72 8
72 73 8
73 74 8
74 75 8
75 76 11
76 77 8
77 78 16
78 79 8
79 80 8
80 81 8
81 82 8
82 87 8
83 84 8
83 86 8
84 85 8
85 115 8
86 112 8
87 111 8
88 89 8
88 108 8
89 90 8
90 91 8
91 92 12
91 98 16
92 96 11
93 94 8
93 96 8
94 95 8
96 97 8
98 99 12
99 100 8
100 101 8
101 102 8
102 103 8
103 104 8
104 106 11
105 106 8
105 172 8
107 108 8
107 109 8
109 111 10
110 111 8
110 113 8
112 113 8
114 115 8
114 116 8
116 117 8
118 119 8
118 156 8
119 120 8
120 121 8
121 122 8
122 123 8
123 124 8
124 125 12
125 126 8
126 127 8
128 129 8
128 153 14
129 130 8
130 131 8
133 134 8
133 269 8
134 135 8
135 136 8
136 137 8
137 138 8
138 139 8
139 140 8
140 141 8
141 146 8
142 145 8
143 144 8
143 199 8
144 145 8
145 146 8
146 147 8
147 148 8
148 149 16
149 178 21
150 151 8
150 177 8
151 155 8
152 154 8
152 155 8
153 154 8
156 157 8
157 158 8
158 159 8
159 174 8
160 161 8
160 173 16
160 174 8
161 162 8
162 163 8
163 164 8
164 165 14
165 166 12
166 167 8
167 170 17
168 169 8
169 171 8
170 171 0
172 173 11
175 176 8
175 179 11
176 177 8
178 179 8
180 181 8
181 182 8
182 183 8
183 184 8
184 185 11
185 186 8
186 187 12
187 188 8
188 189 8
189 190 12
190 191 14
191 192 17
192 196 16
193 194 8
193 196 8
194 195 8
195 200 8
197 198 8
197 200 8
198 199 8
199 201 8
201 202 11
202 203 11
203 204 11
204 205 11
206 207 8
206 209 8
207 208 8
208 251 8
209 210 8
210 211 8
211 212 8
212 213 8
213 214 8
214 215 8
215 216 8
216 217 8
217 218 8
218 219 8
219 220 8
220 221 8
221 222 16
222 223 11
223 224 8
224 225 8
225 226 8
226 227 8
227 228 8
228 229 8
229 250 8
230 231 8
230 245 8
231 232 8
232 233 8
233 234 8
234 235 8
235 236 8
236 237 8
237 238 8
238 239 8
239 240 8
240 241 8
241 242 8
242 243 8
243 244 8
244 246 8
245 250 16
246 249 8
247 248 11
247 277 17
248 249 11
251 252 8
252 253 8
253 254 8
254 255 8
255 256 8
256 257 8
257 258 8
258 259 8
259 260 8
260 261 11
261 262 11
262 263 11
263 264 11
264 265 8
265 266 8
266 267 8
267 268 8
268 269 8
270 271 8
271 272 8
272 273 8
273 274 8
274 275 8
275 276 10
277 278 8
