127 126
0 6 418
0 15 259
1 15 624
1 50 418
2 10 705
2 89 820
3 22 164
4 51 518
4 55 418
5 105 116
5 113 366
6 104 418
7 66 820
7 71 259
8 10 164
8 23 418
9 99 905
9 119 418
11 13 418
11 29 733
11 30 591
12 114 259
12 119 418
14 105 164
14 107 259
16 19 328
16 20 116
17 20 580
17 76 348
18 21 232
18 71 259
19 107 259
22 23 164
24 25 1037
24 32 259
25 37 518
26 30 259
27 121 232
28 31 348
28 32 366
29 40 464
31 79 2413
32 121 232
33 41 478
33 42 259
34 36 418
34 39 656
35 36 164
35 40 418
37 38 366
38 41 366
39 42 580
39 43 1249
43 102 478
44 53 778
44 102 328
45 93 991
45 117 518
46 48 478
46 54 1211
47 52 366
47 117 259
48 52 232
49 50 624
49 114 464
51 123 328
53 56 478
54 65 820
54 123 928
55 120 464
56 120 518
57 63 116
57 90 656
58 59 580
58 61 518
59 115 259
60 61 259
60 90 259
62 118 1972
63 99 580
64 98 2822
64 112 2216
65 112 1508
66 72 591
67 70 883
67 73 883
68 69 812
68 74 1100
69 70 812
72 73 328
74 75 1069
75 77 733
76 78 883
77 116 820
78 79 328
80 83 232
80 125 1044
81 82 478
81 125 928
82 101 3945
83 116 656
84 85 164
84 109 1508
85 86 259
86 87 259
87 108 1411
88 91 366
88 124 1281
89 115 164
91 98 1296
92 94 1508
92 126 1913
93 111 1985
94 122 1276
95 108 580
95 118 2504
96 97 6078
96 122 1660
97 100 9465
100 101 1211
103 109 3826
103 124 2973
104 113 259
106 110 4190
106 126 4877
110 111 956
